loinc_num,long_common_name,component,system,property,qname,f_component_match,f_system_match,f_property_match,f_long_name_match,label,stage1_prob,stage1_logit
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,glucose in blood,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,glucose in blood,1,0,1,1,0,0.6874906161927554,0.7884136833645996
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,glucose in blood,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,glucose in blood,0,0,0,0,0,0.04408013700809949,-3.076664811206528
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,bilirubin in plasma,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,bilirubin in plasma,1,1,1,1,1,0.9194228612616352,2.4345311776792378
8310-5,Body temperature,Body temperature,^Patient,Temp,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,bilirubin in plasma,1,1,1,1,1,0.9194228612616352,2.4345311776792378
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
10331-7,Rh [Type] in Blood,Rh,Bld,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,bilirubin in plasma,0,1,0,0,0,0.19301342024634174,-1.4305473168918894
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
890-4,Blood group antibody screen [Presence] in Serum or Plasma,Blood group antibody screen,Ser/Plas,ACnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,bilirubin in plasma,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,bilirubin in plasma,1,1,1,1,1,0.9194228612616352,2.4345311776792378
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,bilirubin in plasma,1,1,1,1,1,0.9194228612616352,2.4345311776792378
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,bilirubin in plasma,0,0,1,1,0,0.05794713638509016,-2.7885302381943893
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,bilirubin in plasma,1,0,1,1,0,0.6874906161927554,0.7884136833645996
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
933-2,Blood product type,Blood product type,^BPU,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,bilirubin in plasma,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,bilirubin in plasma,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,bilirubin in plasma,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,bilirubin in plasma,0,0,1,1,0,0.05794713638509016,-2.7885302381943893
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,bilirubin in plasma,0,0,0,0,0,0.04408013700809949,-3.076664811206528
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,bilirubin in plasma,1,0,0,1,0,0.5164156631823387,0.06568626050264659
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,bilirubin in plasma,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,bilirubin in plasma,1,0,1,1,0,0.6874906161927554,0.7884136833645996
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,bilirubin in plasma,0,1,1,1,0,0.24187765376836487,-1.1424127438797502
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,white blood cells count,0,0,1,0,0,0.08675331627378653,-2.3539373883445744
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,white blood cells count,1,1,1,1,1,0.9194228612616352,2.4345311776792378
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,white blood cells count,0,0,0,1,0,0.028993607949855536,-3.511257661056342
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,white blood cells count,0,0,1,1,0,0.05794713638509016,-2.7885302381943893
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
933-2,Blood product type,Blood product type,^BPU,Type,white blood cells count,0,0,0,1,0,0.028993607949855536,-3.511257661056342
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
